,location,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
0,fram_strait-20210331-20210501,76.0015,-18.4315,83.7087,-23.7427,68.3809,-16.9041,247326.41049684677,1115678.4104968468,-2089839.4681516434,-635759.4681516434,2021-03-31,2021-05-01
1,fram_strait-20210501-20210601,76.0015,-18.4315,83.7087,-23.7427,68.3809,-16.9041,247326.41049684677,1115678.4104968468,-2089839.4681516434,-635759.4681516434,2021-05-01,2021-06-01
2,fram_strait-20210601-20210701,76.0015,-18.4315,83.7087,-23.7427,68.3809,-16.9041,247326.41049684677,1115678.4104968468,-2089839.4681516434,-635759.4681516434,2021-06-01,2021-07-01
3,fram_strait-20210701-20210801,76.0015,-18.4315,83.7087,-23.7427,68.3809,-16.9041,247326.41049684677,1115678.4104968468,-2089839.4681516434,-635759.4681516434,2021-07-01,2021-08-01
4,fram_strait-20210801-20210901,76.0015,-18.4315,83.7087,-23.7427,68.3809,-16.9041,247326.41049684677,1115678.4104968468,-2089839.4681516434,-635759.4681516434,2021-08-01,2021-09-01
5,fram_strait-20210901-20211001,76.0015,-18.4315,83.7087,-23.7427,68.3809,-16.9041,247326.41049684677,1115678.4104968468,-2089839.4681516434,-635759.4681516434,2021-09-01,2021-10-01
